50 811
1 11 2
11 40 3
40 46 3
46 30 3
30 35 3
35 14 1
14 37 3
37 4 3
4 23 1
23 33 2
33 16 3
16 13 1
13 28 2
28 26 3
26 10 1
10 44 2
44 50 3
29 49 1
23 17 2
4 36 3
14 16 1
48 40 2
7 24 3
36 20 3
37 47 2
9 40 3
19 44 1
10 12 2
39 32 3
5 42 1
45 15 2
7 17 3
12 48 1
47 38 2
43 31 3
24 31 1
10 2 2
7 28 3
47 6 1
35 33 2
44 32 3
45 6 3
6 49 2
9 15 3
27 9 1
5 21 2
7 31 3
12 10 2
4 40 3
17 40 3
37 32 2
1 27 2
35 8 3
31 10 1
47 7 2
29 2 3
28 11 1
8 27 2
20 15 3
47 48 1
38 49 2
24 22 3
9 42 1
38 33 2
35 25 3
26 47 2
36 3 2
14 9 3
7 43 1
46 5 2
33 32 3
27 28 1
12 7 2
18 32 3
18 45 1
34 4 2
16 19 3
12 33 1
23 10 2
33 8 3
1 49 1
26 49 3
48 50 3
44 14 2
14 17 2
28 43 3
20 40 1
3 22 3
49 43 3
32 48 1
34 39 2
18 28 3
36 25 1
23 31 2
38 19 3
46 7 1
48 18 3
45 25 3
25 8 1
46 8 2
24 2 3
43 44 1
36 22 2
25 3 3
42 12 2
23 18 3
33 37 3
8 14 2
33 27 2
24 13 3
14 32 1
4 5 2
5 38 3
30 49 2
38 43 2
45 49 3
4 10 1
45 44 3
19 49 3
30 7 3
43 25 2
42 14 3
43 18 1
25 48 2
12 39 3
6 50 1
7 22 2
47 12 3
8 9 1
18 47 2
39 11 3
20 49 1
25 2 2
39 43 3
2 20 2
48 30 2
34 6 3
21 46 1
29 17 2
17 2 3
7 37 1
12 27 2
28 19 3
7 39 1
42 31 2
15 49 3
30 2 1
11 41 3
41 13 3
39 23 2
33 14 2
3 33 3
45 39 1
36 41 2
43 50 3
47 2 1
12 13 2
35 31 3
32 9 1
37 35 2
21 14 3
21 45 1
33 26 3
49 10 3
7 36 1
37 44 2
13 22 3
42 4 1
10 7 2
16 43 3
10 20 1
2 19 2
42 22 3
29 39 1
30 23 2
12 46 3
42 40 2
9 10 2
40 4 3
18 30 1
38 29 2
21 22 3
27 12 2
2 32 2
5 48 3
30 50 1
24 32 3
12 22 3
25 49 1
22 50 2
36 19 3
6 42 1
45 40 2
17 10 3
37 48 1
43 33 2
12 31 3
20 46 1
17 45 2
1 16 3
41 43 1
22 21 3
30 31 3
44 39 3
36 13 3
30 34 3
3 32 1
12 40 3
14 4 3
47 24 1
33 24 2
24 28 3
29 33 1
2 12 2
22 31 3
24 33 2
24 36 3
32 34 3
30 48 2
19 12 3
7 20 3
42 8 1
18 16 2
20 17 3
29 20 1
48 27 2
22 42 3
43 24 1
38 35 2
30 28 3
1 47 1
17 46 2
17 21 3
21 23 1
7 19 2
24 29 3
33 19 1
48 3 2
13 15 3
40 39 1
35 42 2
33 48 3
23 19 1
32 37 2
31 36 3
27 33 2
15 14 2
26 15 3
1 36 1
13 2 2
42 2 3
34 19 1
48 42 2
16 35 3
41 19 1
12 26 2
47 32 3
48 21 1
43 32 2
18 27 3
39 36 1
25 7 2
47 28 3
47 18 2
39 33 2
22 3 3
12 32 3
48 25 2
17 47 3
38 5 3
16 40 2
2 43 3
14 15 2
40 19 2
18 39 3
16 6 2
43 27 2
29 44 3
25 44 1
3 39 2
23 49 3
6 29 1
19 5 2
6 38 3
36 33 3
22 34 2
24 37 3
35 41 1
28 21 2
28 35 3
37 38 1
9 41 2
12 49 3
36 9 1
13 41 3
17 34 3
46 44 3
7 29 2
21 20 3
27 7 1
49 46 2
27 36 3
26 23 1
4 22 2
17 25 3
6 24 1
46 13 2
1 23 3
22 48 1
39 22 2
49 7 3
32 31 1
20 16 2
30 46 3
14 11 1
44 15 2
11 35 3
42 32 1
29 15 3
41 25 3
3 36 2
1 45 2
25 38 3
7 11 1
27 4 2
2 26 3
1 33 1
48 29 2
29 13 3
19 31 1
29 11 2
32 24 3
15 48 1
17 36 2
3 42 3
32 3 1
17 27 2
44 46 3
47 15 1
37 11 2
39 4 3
17 5 1
47 21 2
46 40 3
16 5 1
24 12 2
15 2 3
3 8 1
5 39 2
9 29 3
49 11 1
12 42 2
47 5 3
13 23 2
22 14 2
34 47 3
35 32 1
32 50 2
26 33 3
26 5 1
42 24 2
46 37 3
2 41 1
41 29 2
16 8 3
5 16 1
13 32 2
21 43 3
10 27 2
27 5 2
22 49 3
28 20 1
21 44 2
18 14 3
2 44 1
15 10 3
32 16 3
43 46 1
10 35 2
34 35 3
5 30 1
15 42 2
18 3 3
33 38 2
2 35 2
6 45 3
25 30 1
25 37 3
30 3 3
40 24 1
37 26 2
28 4 3
1 41 1
8 10 2
37 14 3
48 37 1
8 43 2
47 30 3
20 3 1
31 38 3
49 3 3
34 21 1
46 12 3
40 28 3
33 44 1
49 8 2
12 19 3
37 5 1
7 26 2
16 28 3
4 21 1
47 26 2
38 48 3
27 6 2
20 50 2
17 31 3
8 31 1
38 20 2
4 31 3
12 38 1
34 49 2
13 43 3
22 41 1
29 41 2
16 15 3
48 34 1
49 38 2
22 6 3
46 6 1
36 23 2
11 38 3
12 28 1
3 45 2
38 39 3
21 8 1
28 13 2
48 38 3
33 43 2
6 16 2
12 50 3
15 30 1
28 24 3
15 29 3
41 3 1
33 13 2
39 25 3
42 9 1
21 47 2
25 10 3
7 13 1
34 20 2
36 48 3
39 31 1
22 45 2
18 23 3
26 21 1
26 40 2
1 8 3
48 44 1
27 10 2
18 48 3
27 31 1
11 5 2
10 30 3
20 14 1
46 38 2
49 31 3
43 16 3
25 50 2
39 10 3
14 13 1
40 49 3
35 18 3
4 26 1
20 2 2
28 31 3
47 3 1
5 6 2
10 39 3
20 29 1
3 43 2
11 9 3
28 37 3
32 30 2
9 26 3
11 45 1
46 28 2
27 13 3
37 18 1
47 34 3
38 44 3
3 5 1
14 44 2
39 8 3
31 47 1
18 8 2
40 7 3
30 43 1
36 34 2
35 46 3
7 16 1
20 41 2
10 16 3
39 7 1
8 16 3
31 11 3
1 21 1
15 19 2
27 50 3
2 11 1
24 44 2
11 34 3
35 49 2
19 14 2
25 14 3
14 49 1
27 16 2
44 45 3
20 21 3
1 2 2
10 14 3
34 23 1
5 8 2
8 2 3
44 4 1
24 30 2
40 23 3
45 48 1
6 28 2
11 36 3
22 29 1
43 38 2
16 12 3
19 45 1
44 40 2
19 35 3
45 32 3
40 37 2
33 10 3
9 30 1
29 28 2
37 28 3
26 32 1
32 13 2
40 34 3
7 42 1
40 3 2
39 42 3
9 44 1
31 46 2
34 17 3
22 8 1
8 30 2
15 36 3
48 7 3
9 43 2
35 11 3
20 33 1
24 3 3
25 26 3
34 25 1
15 13 3
18 20 3
3 21 1
10 48 2
14 29 3
46 26 1
15 39 2
26 2 3
4 11 1
49 35 2
29 40 3
33 4 1
8 26 2
13 37 3
48 13 1
48 17 2
49 12 3
13 19 1
11 22 2
1 39 3
7 5 1
33 17 2
7 48 3
8 42 1
16 30 2
18 6 3
31 33 1
10 13 2
48 49 3
7 25 2
13 18 2
26 35 3
41 26 1
23 13 2
38 31 3
21 12 1
20 11 2
39 46 3
25 4 1
38 2 2
43 40 3
23 28 1
1 15 2
31 40 3
26 9 3
6 3 2
41 11 3
19 22 1
23 12 2
41 31 3
29 16 1
32 23 2
20 36 3
21 17 3
15 28 2
28 2 3
12 44 1
8 35 3
22 26 3
23 38 1
14 46 2
37 15 3
3 13 1
12 34 2
7 21 3
44 30 1
5 18 3
42 28 3
46 36 1
4 30 2
36 18 3
10 42 1
35 21 2
49 26 3
26 42 1
10 17 3
35 13 3
22 23 1
17 15 2
25 46 3
44 28 1
16 47 2
40 22 3
19 29 1
38 11 3
30 33 3
46 31 2
25 12 2
5 31 3
47 45 1
13 38 2
32 12 3
45 7 2
46 18 2
13 36 3
45 5 1
49 15 3
36 14 3
12 4 1
7 4 2
18 5 3
21 49 1
36 43 2
22 24 3
39 48 1
49 18 2
37 41 3
10 8 2
34 41 2
40 12 3
38 34 1
7 45 2
18 40 3
24 34 1
30 16 2
39 44 3
30 12 1
43 45 2
7 30 3
5 44 1
28 40 3
27 42 3
8 50 1
9 11 3
35 27 3
38 12 1
43 47 2
19 38 3
39 19 1
22 38 2
46 50 3
10 43 1
11 46 2
6 14 3
40 35 1
5 47 3
29 10 3
27 45 1
15 21 2
34 45 3
39 30 1
38 50 2
21 11 3
48 4 1
14 8 2
22 37 3
37 16 1
46 22 2
25 21 3
32 27 1
5 4 2
37 49 3
31 27 1
28 29 2
27 15 3
15 50 1
23 39 2
3 24 3
3 26 1
5 27 2
49 28 3
44 36 1
7 44 2
49 40 3
28 34 1
19 36 3
2 34 3
19 48 1
18 36 3
27 37 3
15 18 1
4 43 2
8 38 3
5 41 1
23 47 2
21 29 3
13 39 1
14 48 2
39 21 3
16 48 1
4 32 2
21 33 3
6 23 1
1 30 2
31 3 3
20 24 1
37 10 2
33 36 3
32 5 1
49 30 2
42 34 3
39 49 1
49 13 2
46 35 3
22 9 1
14 5 2
19 6 3
7 40 3
11 47 2
22 13 3
19 25 1
22 27 2
36 24 3
1 50 1
19 2 2
12 37 3
12 23 2
28 3 2
32 45 3
20 48 1
13 25 2
35 4 3
36 11 3
47 19 2
37 25 3
42 16 1
6 27 2
13 9 3
43 22 1
16 11 2
35 30 3
7 3 1
4 18 2
11 50 3
49 21 1
19 8 2
49 24 3
34 15 1
26 17 2
17 50 3
6 36 1
30 42 2
44 16 3
33 15 1
49 36 2
47 42 3
34 18 1
3 19 2
48 35 3
24 45 1
39 2 2
4 28 3
26 41 1
14 12 2
10 15 3
29 27 1
42 27 3
25 41 3
15 31 1
40 42 2
