500 214600
1 350 2
350 34 3
34 29 1
29 486 3
486 170 3
170 356 1
356 20 2
20 454 3
454 362 1
362 483 3
483 382 3
382 165 1
165 412 2
412 188 3
188 155 1
155 480 2
480 458 3
458 45 1
45 390 2
390 39 3
39 260 1
260 430 3
430 208 3
208 370 3
370 325 2
325 383 3
383 448 2
448 14 2
14 24 3
24 163 3
163 332 2
332 108 3
108 61 3
61 287 2
287 490 3
490 314 2
314 25 2
25 246 3
246 460 2
460 205 2
205 413 3
413 284 2
284 485 2
485 78 3
78 98 2
98 371 3
371 300 3
300 185 1
185 407 2
407 292 3
292 337 1
337 472 2
472 231 3
231 7 2
7 322 2
322 389 3
389 211 3
211 131 2
131 117 3
117 386 2
386 282 3
282 319 3
319 82 3
82 342 2
342 424 3
424 302 3
302 489 2
489 252 3
252 175 1
175 261 3
261 38 3
38 421 3
421 429 2
429 77 3
77 121 3
121 455 3
455 478 3
478 328 2
328 162 3
162 238 3
238 9 2
9 395 2
395 425 3
425 81 3
81 133 3
133 241 3
241 473 1
473 182 3
182 400 3
400 315 3
315 209 2
209 411 3
411 409 2
409 304 3
304 449 3
449 113 1
113 335 2
335 91 3
91 259 2
259 229 2
229 463 3
463 92 1
92 306 2
306 138 3
138 416 3
416 499 2
499 19 3
19 484 2
484 275 2
275 143 3
143 375 3
375 297 2
297 3 3
3 281 3
281 22 2
22 344 3
344 378 3
378 436 2
436 176 3
176 213 1
213 431 2
431 191 3
191 26 2
26 109 2
109 2 3
2 278 1
278 43 2
43 406 3
406 50 2
50 225 2
225 193 3
193 219 2
219 482 3
482 475 3
475 369 1
369 156 2
156 141 3
141 491 1
491 190 3
190 496 3
496 396 1
396 80 2
80 250 3
250 291 1
291 125 2
125 8 3
8 12 1
12 364 2
364 349 3
349 339 2
339 234 2
234 357 3
357 62 1
62 194 3
194 245 3
245 147 3
147 239 2
239 446 3
446 90 1
90 105 3
105 418 3
418 492 1
492 435 3
435 120 3
120 122 3
122 123 3
123 203 3
203 422 1
422 401 2
401 254 3
254 69 2
69 46 2
46 86 3
86 268 1
268 308 2
308 272 3
272 215 1
215 89 2
89 212 3
212 217 1
217 132 2
132 488 3
488 174 3
174 388 2
388 471 3
471 327 1
327 269 2
269 207 3
207 4 1
4 240 3
240 391 3
391 223 3
223 366 2
366 13 3
13 277 2
277 321 3
321 263 3
263 177 1
177 206 2
206 97 3
97 329 1
329 37 2
37 354 3
354 228 1
228 247 2
247 197 3
197 251 1
251 124 2
124 372 3
372 195 3
195 159 3
159 469 3
469 380 1
380 79 3
79 153 3
153 358 1
358 204 2
204 298 3
298 10 1
10 161 2
161 255 3
255 305 1
305 214 2
214 160 3
160 290 1
290 271 2
271 338 3
338 157 1
157 66 2
66 248 3
248 48 2
48 242 3
242 142 3
142 495 1
495 346 2
346 313 3
313 403 1
403 299 2
299 184 3
184 139 2
139 404 3
404 31 3
31 265 1
265 420 2
420 264 3
264 152 1
152 497 2
497 99 3
99 438 2
438 336 2
336 221 3
221 270 1
270 65 2
65 465 3
465 17 1
17 441 3
441 399 3
399 295 2
295 118 2
118 36 3
36 230 3
230 28 2
28 494 3
494 107 3
107 104 3
104 54 3
54 427 3
427 21 2
21 235 3
235 498 2
498 256 3
256 68 3
68 52 1
52 198 2
198 227 3
227 73 3
73 394 2
394 402 3
402 457 3
457 397 3
397 183 3
183 468 3
468 23 3
23 116 3
116 67 1
67 301 2
301 5 3
5 408 1
408 179 2
179 6 3
6 93 1
93 426 2
426 294 3
294 320 1
320 470 2
470 311 3
311 331 3
331 345 2
345 258 3
258 224 1
224 171 2
171 355 3
355 334 1
334 453 2
453 135 3
135 71 1
71 479 2
479 456 3
456 233 1
233 129 2
129 376 3
376 437 2
437 56 2
56 414 3
414 115 2
115 101 2
101 55 3
55 87 1
87 341 2
341 293 3
293 119 1
119 47 2
47 410 3
410 347 1
347 100 2
100 444 3
444 95 1
95 286 2
286 439 3
439 49 1
49 447 2
447 164 3
164 417 3
417 359 2
359 57 3
57 476 2
476 348 2
348 267 3
267 464 2
464 75 2
75 481 3
481 202 3
202 381 2
381 377 3
377 423 1
423 148 2
148 140 3
140 110 2
110 493 2
493 384 3
384 134 3
134 103 3
103 126 3
126 201 2
201 127 2
127 374 3
374 317 1
317 15 2
15 145 3
145 85 2
85 340 3
340 218 3
218 59 1
59 285 3
285 40 3
40 244 3
244 173 2
173 11 3
11 365 1
365 477 3
477 316 3
316 398 2
398 283 2
283 192 3
192 405 2
405 70 2
70 181 3
181 94 1
94 324 2
324 83 3
83 451 1
451 18 2
18 63 3
63 279 1
279 461 2
461 379 3
379 187 1
187 35 2
35 151 3
151 199 1
199 220 2
220 445 3
445 450 1
450 178 2
178 130 3
130 167 1
167 222 3
222 112 3
112 76 1
76 58 2
58 137 3
137 172 3
172 111 2
111 415 3
415 276 1
276 32 2
32 102 3
102 257 3
257 41 2
41 330 3
330 253 3
253 189 3
189 196 3
196 168 3
168 467 2
467 351 3
351 353 2
353 33 2
33 462 3
462 44 2
44 64 2
64 392 3
392 487 1
487 274 3
274 158 3
158 434 1
434 352 3
352 443 3
443 53 1
53 136 2
136 237 3
237 200 2
200 303 3
303 144 3
144 60 2
60 500 2
337 216 3
253 403 2
346 232 2
290 353 3
358 290 2
239 370 2
330 198 3
480 479 1
101 133 3
94 328 3
198 238 3
12 147 2
443 359 3
424 249 3
39 45 3
154 22 3
201 397 1
22 395 2
94 118 3
423 466 2
294 183 2
402 57 3
292 59 2
355 497 2
56 62 3
309 487 2
225 388 2
477 227 3
228 435 3
2 445 3
299 198 3
374 466 1
339 52 2
30 296 3
493 63 3
244 162 2
184 217 3
277 404 1
498 350 2
3 187 3
141 388 3
43 85 2
447 406 3
354 108 1
113 125 2
480 350 3
214 60 2
374 326 3
290 469 3
439 428 1
465 339 3
456 474 3
437 156 1
148 465 3
370 402 3
51 282 1
111 30 2
318 139 3
12 40 3
174 345 2
127 368 3
326 363 2
73 271 2
341 298 3
158 221 2
69 402 2
58 115 3
163 476 3
453 47 3
53 382 3
190 267 3
343 212 3
89 372 3
126 245 2
415 224 2
207 79 3
162 222 2
434 93 3
229 59 3
115 30 1
159 391 2
36 50 3
394 6 2
66 21 2
484 328 3
271 106 2
336 193 2
273 285 3
115 125 1
94 141 3
426 58 3
247 288 2
49 74 2
232 470 3
327 260 1
305 228 3
425 139 3
95 251 2
416 124 2
195 487 3
303 339 1
1 170 2
260 325 3
394 69 1
293 43 2
430 210 3
299 294 1
301 295 2
84 429 3
461 58 3
282 371 2
89 129 3
258 428 3
208 157 3
421 477 3
194 459 3
423 401 2
482 486 3
95 259 2
1 265 2
417 335 3
331 193 1
448 89 2
466 478 3
6 242 2
149 463 2
282 416 3
119 2 3
456 166 2
354 133 3
210 378 1
475 465 3
159 426 3
441 185 1
139 264 2
389 300 3
491 342 1
402 149 2
67 242 3
363 2 1
330 478 2
463 168 3
490 240 2
480 499 2
14 408 3
283 100 2
7 421 2
425 79 3
23 117 3
50 329 2
142 168 3
105 406 3
97 354 2
221 256 3
120 434 1
381 34 2
469 280 3
391 465 3
114 34 2
344 33 3
28 53 1
164 179 2
128 222 3
123 336 2
134 461 2
491 332 3
68 145 1
326 226 2
159 109 3
136 277 3
65 216 2
398 351 3
284 102 1
290 288 2
202 142 3
141 213 2
61 90 2
414 494 3
487 456 1
326 355 3
401 109 3
471 351 2
287 134 2
70 83 3
56 475 1
63 209 3
239 387 3
481 186 2
57 283 2
226 73 3
133 94 3
458 18 2
133 54 3
278 217 2
285 213 3
240 281 3
50 476 3
349 151 3
201 217 3
266 185 2
61 416 2
424 254 3
297 365 1
499 330 3
358 38 3
256 392 2
125 412 3
493 300 3
395 153 1
141 201 3
126 479 3
114 281 2
396 241 3
306 160 3
10 224 1
234 237 2
369 105 3
166 221 3
156 294 2
254 171 3
300 113 3
374 493 2
280 329 3
140 373 1
6 277 2
219 385 3
321 295 1
157 343 2
467 500 3
368 33 3
154 116 2
191 122 3
247 76 2
474 269 2
225 489 3
285 305 2
428 49 2
294 364 3
37 235 1
73 141 3
20 373 3
69 202 3
13 17 2
413 64 3
24 285 1
247 208 2
276 460 3
355 139 1
57 162 2
426 291 3
94 172 1
179 378 3
275 154 3
444 191 1
93 358 3
164 81 3
300 468 1
408 288 3
453 254 3
232 61 3
417 114 2
34 421 3
155 48 2
466 192 2
85 285 3
455 10 2
10 458 2
313 340 3
184 294 1
105 481 2
382 458 3
120 250 1
440 29 2
216 399 3
254 68 1
416 480 2
220 415 3
242 171 3
132 267 2
237 342 3
489 449 1
159 461 2
135 271 3
33 4 1
440 26 2
25 455 3
428 363 1
483 33 2
121 412 3
360 425 1
466 65 2
39 313 3
408 28 1
339 462 2
425 464 3
297 440 2
99 96 2
294 233 3
496 170 3
113 41 2
38 442 3
404 329 2
26 425 2
170 345 3
252 56 3
408 104 3
57 300 3
223 91 3
5 278 2
267 369 3
103 191 2
9 360 3
223 254 3
311 117 2
345 63 2
352 116 3
399 169 1
109 459 3
422 415 3
231 459 3
18 382 2
228 77 3
70 11 1
368 323 2
300 59 3
12 211 2
58 296 2
62 363 3
328 211 1
471 175 2
10 287 3
467 436 1
191 69 2
1 412 3
441 328 1
123 197 2
287 167 3
349 228 3
297 193 2
232 260 3
265 266 2
211 262 3
345 131 3
433 343 3
392 46 3
41 116 3
437 45 2
446 11 3
8 76 3
389 97 2
41 286 2
337 336 3
452 110 2
324 310 3
231 433 3
242 446 2
412 434 3
238 5 3
392 384 3
169 180 2
495 387 3
393 189 3
399 91 2
245 356 3
83 355 3
35 34 2
256 305 3
276 76 3
418 400 3
65 397 3
244 106 1
123 497 2
322 400 3
160 415 2
133 170 2
109 388 3
131 271 2
228 404 2
157 215 3
311 314 3
336 13 3
196 215 3
131 236 1
370 405 3
77 247 3
246 13 2
80 254 2
441 378 3
45 53 1
22 419 2
233 363 3
17 124 2
278 219 2
495 361 3
371 256 2
364 470 3
198 293 3
432 162 1
478 139 2
278 489 3
157 432 1
389 364 2
298 444 3
172 183 3
221 118 2
424 365 3
43 76 1
50 397 2
159 276 3
411 374 3
481 449 2
451 259 3
301 478 1
256 301 2
134 153 3
151 105 2
154 314 3
318 401 3
98 167 2
221 7 3
288 171 3
152 240 2
37 479 2
95 415 3
478 301 1
43 158 2
136 365 3
302 309 1
112 488 2
64 132 3
18 478 1
232 62 2
238 147 3
334 34 2
270 359 2
486 424 3
336 481 1
167 335 3
169 373 3
10 75 1
399 349 3
237 58 3
462 423 1
68 340 3
395 321 3
166 475 1
310 92 3
405 489 3
11 329 2
451 457 2
87 4 3
323 175 2
459 414 2
268 167 3
144 300 2
46 185 3
352 84 3
66 280 1
44 295 2
27 431 3
23 142 1
252 344 3
152 69 3
447 452 1
147 34 3
494 33 3
23 46 2
319 452 3
400 160 3
368 214 3
52 170 2
153 74 3
228 278 1
214 431 2
245 330 3
67 229 1
490 444 3
143 135 3
117 110 3
266 430 2
183 348 3
222 478 1
98 210 3
318 222 3
282 229 3
246 457 3
339 416 3
80 248 1
45 441 2
426 53 3
415 487 1
407 424 2
24 376 3
55 80 1
360 290 2
300 346 3
323 256 3
375 232 2
459 135 3
328 482 1
94 455 3
182 12 3
432 414 1
422 492 2
309 99 3
470 197 2
348 392 2
215 127 3
379 234 1
452 260 2
395 29 3
153 316 3
148 91 2
205 140 3
144 268 1
341 103 3
69 345 3
437 260 3
137 231 3
359 91 3
119 152 3
182 227 2
49 84 3
75 277 2
387 136 2
348 299 3
13 473 3
102 96 3
401 234 3
341 159 2
5 178 2
124 445 3
42 367 1
338 348 2
90 51 3
438 32 3
399 244 2
18 354 3
426 353 2
80 69 2
229 58 3
20 319 1
95 19 2
164 57 3
359 301 1
467 488 2
136 441 3
487 167 3
438 396 2
176 311 3
384 111 2
271 170 2
205 209 3
363 159 3
26 77 3
427 402 3
4 205 3
457 341 2
344 496 3
320 241 3
30 385 2
347 200 3
111 245 2
290 242 2
454 405 3
464 230 3
119 329 2
112 462 3
41 455 3
74 286 3
2 285 3
318 324 2
343 250 3
488 268 3
352 107 3
130 343 3
262 293 3
60 10 3
132 185 2
157 430 3
108 489 3
195 236 2
288 20 3
184 200 2
231 14 2
474 268 3
132 468 3
58 54 3
320 272 3
17 43 1
487 278 3
336 302 3
168 339 3
414 477 3
176 409 3
220 405 1
207 490 2
102 404 3
412 102 1
135 378 2
342 128 3
182 407 3
275 313 3
93 263 3
223 213 2
344 250 3
374 451 3
144 350 1
477 198 2
431 99 3
161 140 3
290 385 2
289 265 3
326 385 1
456 262 2
97 246 3
288 480 1
360 224 2
347 148 3
361 191 2
355 303 2
117 255 3
197 455 3
107 332 2
40 286 3
20 14 3
449 458 2
396 357 3
375 243 1
153 480 3
304 437 3
412 211 3
362 64 2
233 219 3
400 320 1
30 7 2
5 323 3
460 120 1
469 347 3
32 255 3
241 16 2
489 302 2
224 69 3
247 349 2
415 188 2
291 435 3
305 385 3
77 343 2
59 140 3
369 361 1
343 281 2
416 3 3
64 63 2
423 274 3
137 120 3
308 466 2
163 251 2
239 264 3
114 173 2
65 400 3
91 49 3
461 289 2
79 430 3
478 225 3
167 357 1
235 432 2
330 42 3
352 423 1
174 481 3
7 122 3
236 458 2
64 106 2
58 429 3
182 308 2
349 258 2
179 305 3
240 321 2
66 405 2
193 444 3
400 389 2
366 489 3
150 333 3
261 201 2
386 205 2
129 404 3
195 64 1
301 443 2
476 433 3
264 13 3
415 394 2
455 21 3
233 131 3
12 149 3
381 313 3
237 213 2
444 213 2
389 392 3
349 150 3
448 111 3
121 321 3
480 492 1
17 256 2
161 33 3
221 23 1
348 175 3
228 265 3
274 416 3
434 426 2
269 396 3
326 97 1
326 184 2
194 431 3
51 258 2
163 413 2
125 478 3
4 338 2
45 5 3
89 273 3
105 341 3
334 107 3
174 141 3
36 145 3
353 180 2
93 405 3
486 52 2
275 84 2
119 227 3
86 73 2
54 401 3
113 216 3
130 140 1
454 87 2
255 109 3
170 65 2
220 188 3
302 391 3
135 231 1
266 398 2
220 286 3
437 382 1
2 216 3
292 416 3
453 93 2
69 440 2
84 335 3
373 183 1
466 420 2
62 235 3
341 54 1
358 349 2
330 163 3
422 108 3
428 316 2
408 350 3
398 51 2
487 318 3
205 142 3
109 334 1
367 393 2
149 22 3
468 306 3
53 199 3
137 115 3
136 271 1
330 125 3
141 322 3
219 287 2
168 165 3
242 115 3
375 306 1
155 28 2
456 223 3
492 2 1
394 45 3
281 121 3
407 423 2
67 25 2
359 189 3
309 494 3
185 138 2
419 351 3
212 362 3
485 54 2
53 284 3
231 331 1
62 380 3
288 142 3
485 325 2
308 497 2
224 64 3
274 76 3
27 250 2
484 165 3
30 396 2
312 368 2
420 397 3
26 494 2
490 213 2
274 334 3
21 94 2
169 107 2
366 102 3
148 235 3
470 277 2
348 296 3
100 379 3
122 2 2
148 79 3
476 363 1
477 418 2
165 201 3
362 293 2
214 438 2
26 330 3
414 432 1
312 38 3
227 236 3
97 104 2
136 406 2
484 70 3
461 104 1
94 222 2
280 34 3
96 177 2
324 337 2
412 311 3
402 428 1
367 142 2
171 350 3
309 373 3
32 130 2
326 267 3
294 410 1
32 307 2
116 471 3
55 147 3
45 280 3
174 28 3
51 219 1
52 240 3
231 100 3
358 411 3
282 128 3
292 443 3
112 395 1
259 366 2
243 45 3
32 144 2
238 265 3
135 29 3
31 484 1
114 403 2
230 55 3
405 33 1
488 44 2
335 218 3
143 144 3
416 88 2
54 35 3
323 165 1
343 374 2
386 234 3
267 292 3
48 241 2
360 447 3
294 95 1
42 426 3
364 451 3
410 267 2
154 14 3
107 335 3
221 97 1
35 29 2
289 218 3
332 53 3
389 464 2
139 433 3
301 354 1
69 15 3
242 407 3
20 66 2
6 365 2
6 181 3
262 189 3
291 45 2
319 399 3
138 249 1
160 2 2
333 29 3
328 221 2
131 55 3
116 175 3
388 128 1
239 386 2
111 426 3
183 373 1
166 6 3
196 390 3
411 296 1
28 11 2
194 477 3
110 13 2
39 84 3
130 360 3
52 477 1
375 347 2
82 372 3
287 14 2
141 214 3
241 123 3
213 198 1
