100 9505
1 56 2
56 44 3
44 89 2
89 38 3
38 95 3
95 32 3
32 29 2
29 2 3
2 46 2
46 83 3
83 58 3
58 37 1
37 13 2
13 78 3
78 55 2
55 100 2
10 77 3
36 18 2
1 72 2
20 54 3
11 35 1
65 93 2
67 39 3
31 39 3
64 47 3
57 62 3
19 42 2
96 42 2
41 51 3
43 44 2
39 10 2
67 93 3
48 20 2
21 9 2
86 18 3
38 33 2
67 57 3
50 96 3
99 91 1
91 78 3
75 77 3
35 96 3
41 35 3
90 65 3
14 26 1
37 94 2
11 8 3
5 47 2
41 49 2
48 30 3
13 52 2
48 78 2
75 68 3
58 83 3
51 78 2
41 22 3
76 22 2
32 88 2
10 45 3
53 45 3
86 42 2
99 33 3
89 90 1
23 92 2
76 12 3
15 36 2
1 15 2
24 69 3
90 27 3
93 10 2
54 68 3
77 93 3
9 31 2
20 86 3
43 57 1
29 50 3
43 27 3
3 39 2
85 18 2
67 45 3
56 57 1
76 69 2
72 80 3
60 22 1
70 85 2
66 45 3
66 60 3
80 54 3
34 88 3
93 35 3
2 33 2
63 90 3
33 44 2
74 76 2
25 8 3
73 45 2
95 71 3
63 54 3
23 81 3
96 14 2
59 53 3
46 27 1
74 46 2
66 5 3
91 40 3
80 20 2
74 24 3
35 76 2
45 89 2
80 46 3
98 56 1
77 95 2
77 90 3
3 68 3
17 73 2
52 4 3
36 68 2
75 94 2
25 22 3
89 17 1
63 6 2
45 59 3
74 17 1
35 33 2
47 80 3
15 29 1
70 8 2
79 65 3
48 69 2
54 9 2
31 33 3
33 48 1
20 76 2
47 44 3
52 78 2
41 48 3
86 9 3
22 46 1
7 83 3
30 40 3
35 99 2
39 76 3
14 52 3
16 94 3
17 20 3
57 47 3
74 53 1
9 3 3
82 61 3
35 23 2
33 93 2
78 77 3
51 95 1
65 89 2
94 55 3
42 2 2
63 15 3
47 20 3
17 90 3
51 57 2
12 54 3
77 11 2
62 77 2
67 79 3
57 68 2
44 5 2
81 33 3
39 4 2
71 83 2
94 69 3
81 89 1
52 54 2
88 49 3
13 80 3
5 19 3
69 67 3
13 73 3
75 83 2
37 14 3
20 97 1
1 76 2
12 81 3
97 75 1
41 26 2
56 34 3
52 23 1
54 31 2
71 60 3
7 70 1
37 76 3
79 53 3
24 48 3
10 83 2
62 56 3
58 67 1
95 42 2
78 12 3
58 36 1
45 93 2
93 90 3
75 34 1
10 47 2
16 82 3
99 65 3
75 31 2
90 96 3
99 10 1
94 38 2
90 38 3
77 58 1
76 99 2
97 90 3
94 37 2
89 77 2
26 70 3
19 70 1
12 72 3
27 32 3
85 44 3
42 18 2
10 62 3
25 32 2
96 31 3
97 65 3
99 56 2
35 86 3
43 87 3
50 2 1
18 19 2
37 83 3
